제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
스퀘어 에닉스의 게임 AI,스퀘어 에닉스 /송지연 역,AK(에이케이 커뮤니케이션즈),2025년 07월,49000,44100,0,528,N/A,"스퀘어 에닉스의 AI 개발팀이 알려주는 가장 알기 쉬운 게임 AI 설명서!「파이널 판타지」, 「드래곤 퀘스트」 등 수많은 명작 게임을 제작한 게임 제작사의 노하우와 비전을 살펴본다.각 파트의 저자들은 단 하나, ...",https://www.yes24.com/product/goods/148832134
다시 고등 수학,나가노 히로유키 /서재원 역,길벗,2022년 01월,22000,19800,19,"1,662",N/A,"고등학교 수학을 시작으로 잠들어 있던 수학의 뇌를 깨워 보자!인공지능, 데이터 분석, 경제학, 게임 등 이미 수학은 우리 생활과 밀접하게 연관되어 있다. 이제 수학은 선택이 아닌 필수 과목이 되어 가고 있어 어...",https://www.yes24.com/product/goods/106209013
AI와 패션 산업,류현석,커뮤니케이션북스,2025년 09월,12000,10920,0,441,N/A,"AI는 패션 산업의 디자인, 생산, 유통, 소비 경험을 새롭게 바꾸고 있다. 데이터 기반 전략과 생성형 AI가 열어 갈 미래 패션의 가능성과 한계를 균형 있게 조망한다. 인공지능총서. aiseries.oopy.io에서 필요한 인...",https://www.yes24.com/product/goods/153534845
인공지능을 위한 확률과 통계 with 파이썬,이연우,길벗캠퍼스,2025년 07월,38000,38000,0,342,N/A,"파이썬으로 배우는 AI 확률과 통계AI 시대에 확률과 통계로 데이터의 눈을 뜨다!AI 시대의 통찰은 ‘통계적 사고’에서 시작된다. AI가 수학 문제를 풀고, 데이터를 분석하며, 프로그래밍까지 자동으로 수행하는 시...",https://www.yes24.com/product/goods/150118066
난생처음 인공지능 with 스크래치,고광일,한빛아카데미,2023년 10월,25000,25000,2,"1,188",N/A,"생애 처음 인공지능 이론을 배우고, ‘머신러닝 for 키즈’로 인공지능 실습을 구현한다!이 책은 인공지능의 기본적인 개념을 이해하고 실제로 인공지능 프로그래밍을 경험할 수 있도록 구성하였습니다. 먼저 인공지...",https://www.yes24.com/product/goods/123146699
AI 작화법,하묘,성안당,2025년 08월,25000,22500,34,246,N/A,AI로 구현하는 상상의 세계- 현직 일러스트레이터가 전하는 AI 일러스트 제작 실전 노하우AI 이미지 생성 기술의 발달로 이제는 누구나 손쉽게 그림을 그릴 수 있는 시대가 열렸다. 그러나 과연 AI가 그림을 ‘대신...,https://www.yes24.com/product/goods/151260269
인공지능 1,"스튜어트 러셀, 피터 노빅 /류광 역",제이펍,2021년 08월,42000,37800,2,"1,218",N/A,"2016년에 나온 제3판 번역서(2009년에 출간된 원서 3판을 번역)는 최신 연구 반영에 한계가 있었으나, 이번 제4판 번역서는 최근 성과(자연어 이해, 로봇공학, 컴퓨터 시각에 심층학습이 끼친 영향, 강화학습을 로봇...",https://www.yes24.com/product/goods/103212218
이게 되네? 챗GPT 미친 활용법 51제,오힘찬,골든래빗,2024년 07월,24000,21600,41,"14,028",N/A,"5시간 치를 1시간만에, 5일 치를 하루만에, 다섯이서 할 일을 혼자서5배 더 빠르게, 5배 나은 퀄리티로, 5배 더 저렴하게 일한다!오대리의 챗GPT 500% 미친 활용법 대공개AI에 대체될까 두려운가? 미래는 AI 코워킹 ...",https://www.yes24.com/product/goods/128249326
AI 상식 사전,김지현,크레타,2025년 06월,19800,17820,16,"1,020",N/A,"챗GPT부터 피지컬 AI까지, 지금 꼭 알아야 할 AI의 모든 것이미 온 AI 시대, 우리는 얼마나 알고 있는가?AI, 이제 선택이 아닌 필수 교양AI는 더 이상 특정 전문가만의 영역이 아니다급변하는 AI 시대의 핵심 동향과...",https://www.yes24.com/product/goods/147569979
코딩 교육을 위한 마이크로비트,아이씨뱅큐,제이펍,2023년 09월,18800,16920,7,"1,011",N/A,"재밌는 예제 중심의 마이크로비트 입문서!이 책은 처음 코딩을 시작하는 모든 친구를 위하여 하드웨어의 기본 설정부터 블록 코딩 방법까지 아주 친절하게 소개합니다. LED 깜빡이기, 나만의 펫 만들기, 식물에게 물...",https://www.yes24.com/product/goods/122093181
컴퓨팅 사고 Level Up 소프트 파워 with 스크래치,"김호다, 이지민, 최동민, 탁동길",연두에디션,2020년 02월,23000,23000,1,876,N/A,"이 책은 소프트파워를 기르기 위해 통섭의 필요성과 컴퓨팅 사고 능력을 갖추기 위한 융합적 사고, 그리고 문제해결을 위한 컴퓨팅 사고 방법 중심의 쉬운 이해로 기초 단계부터 다양한 응용 실습 단계로 완성한 교...",https://www.yes24.com/product/goods/89142831
제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다,유호석,리코멘드,2024년 06월,22000,19800,18,"3,312",N/A,상위 1% GPT를 만드는 가장 쉬운 방법ChatGPT 등장 이후 누구나 쉽게 고성능의 맞춤형 AI 챗봇을 만들 수 있는 시대가 되었다. 『제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다』는 100개 이상의 GPT를 직접 개...,https://www.yes24.com/product/goods/126690034
모두를 위한 최신 ChatGPT 프롬프트 엔지니어링,"김진, 최정아",마소캠퍼스,2025년 06월,20000,18000,1,888,N/A,"『모두를 위한 최신 ChatGPT 프롬프트 엔지니어링』은 인공지능 시대의 핵심 도구인 ChatGPT를 실무에 즉시 활용할 수 있도록 돕는 실전 가이드북이다. 이 책은 생성형 AI의 기술적 원리에서 출발해, 프롬프트 엔지...",https://www.yes24.com/product/goods/148567951
AI+로봇,김영재,MID 엠아이디,2025년 08월,16000,14400,14,858,N/A,"두 다리로 걷기 시작한 AI,컴퓨터에서 세상으로 걸어나오다AI가 더 이상 서버 속에만 머무르지 않고, 로봇에 장착되어 거리를 걷고, 공장에서 일하며, 가정에서 대화하는 시대가 열렸다. 『AI+로봇』은 이 거대한 전...",https://www.yes24.com/product/goods/151357495
진짜 업무에 쓰는 챗GPT 노코드 데이터 분석,이기복,디지털북스,2025년 03월,33000,29700,6,"1,752",N/A,"13년 경력의 시뮬레이션 연구원이 직접 현장에서 검증한 AI 데이터 분석 노하우 공개!이제는 더 이상 데이터 분석이 전문가만의 영역이 아니다. 비전공자라도, 코딩을 몰라도 누구나 챗GPT와 노코드 도구를 활용해 ...",https://www.yes24.com/product/goods/142788864
딥러닝의 정석 with 파이토치,"김현정, 유상현",길벗캠퍼스,2025년 09월,34000,34000,0,483,N/A,"파이토치로 신경망부터 트랜스포머,다양한 응용과 최적화·배포까지 실습하며실무 딥러닝을 마스터한다!인공지능 기술은 놀라운 속도로 발전해왔으며, 그 중심에는 딥러닝이 있습니다.특히, 파이토치(PyTorch)는 연구...",https://www.yes24.com/product/goods/153620057
"AI 시대, 일 잘하는 사람들의 비밀",남시언,아티오,2025년 09월,22000,19800,7,336,N/A,"“생성형 AI 실전 가이드: 이력서부터 보고서까지 한 권으로 끝내는 업무 혁신”생성형 AI, 더 이상 선택이 아닌 생존의 무기!구글, 마이크로소프트, 아마존 등 글로벌 기업은 물론 국내 주요 기업까지 생성형 AI 활...",https://www.yes24.com/product/goods/153717914
AI를 활용한 법률문서 작성법,김종엽,(주)박영사,2025년 05월,27000,27000,6,"2,658",N/A,"『김종엽 변호사가 공개하는 핵심 프롬프트: AI를 활용한 법률문서 작성법』은 법률 전문가들이 AI 기술을 실무에 효과적으로 활용할 수 있도록 돕기 위해 기획되었다. 본 책은 변호사, 법무사, 법률사무종사자, 법...",https://www.yes24.com/product/goods/146335247
업무에서 바로 써먹는 ChatGPT 생성형 AI 활용,김명석,광문각출판미디어,2024년 06월,17000,17000,20,"2,856",N/A,"챗봇 · AI 글로벌 대전쟁 시대에서 살아남기!AI 디지털 역량 강화 생성형 AI 활용법!일상생활부터 업무 자동화, 수익 창출 콘텐츠 개발‘챗GPT’로 알려진 생성형 AI의 등장으로 우리가 요청한 콘텐츠를 마치 마법처...",https://www.yes24.com/product/goods/128108773
조코딩의 챗GPT API를 활용한 수익형 웹 서비스 만들기,조동근,한빛미디어,2024년 01월,18000,16200,41,"1,152",N/A,"챗GPT, 아직도 ‘사용’만 하나요?이제는 생성 AI를 ‘활용’하는 서비스 제작자가 되자!지금은 모두가 아는 많은 기업이 인터넷과 스마트폰의 등장과 함께 탄생하고 성장했다. 새로운 기술은 많은 분야의 패러다임...",https://www.yes24.com/product/goods/124418561
실전 ComfyUI,우희철,디지털북스,2025년 04월,25000,22500,0,"1,170",N/A,"ComfyUI로 실현하는 나만의 AI 이미지 워크플로우포토샵을 몰라도 실무에 바로 쓰는 스테이블 디퓨전 활용법이제는 원하는 콘셉트, 스타일, 구도, 색상까지 정확하게 컨트롤할 수 있어야 할 때이다. 『실전 ComfyUI...",https://www.yes24.com/product/goods/145449201
오렌지3 with 파이썬,"김현철, 김종혜, 박종화, 임진숙",생능북스,2024년 07월,30000,27000,6,"2,745",N/A,"9가지의 다양한 프로젝트 실습을 통해상황에 따라 미래의 변화를 예측할 수 있는 방법 소개이 책은 데이터 과학 및 기계학습의 다양한 적용 분야를 다루며, 특히 오렌지3와 파이썬을 활용하여 문제를 해결하는 프로...",https://www.yes24.com/product/goods/128264511
데이터 과학을 위한 파이썬 머신러닝,최성철,한빛아카데미,2022년 01월,30000,30000,4,804,N/A,"밑바닥부터 시작하는 파이썬 머신러닝 입문 교재이 책은 머신러닝의 원리와 알고리즘을 파이썬으로 실습하며 배우는 입문용 교재다. 머신러닝의 개념과 실제 실습 환경을 구축하는 방법에 대해 이해하고, 기본 파이...",https://www.yes24.com/product/goods/105866234
그림으로 배우는 StatQuest 머신러닝 강의,조시 스타머 /김태헌 역,제이펍,2023년 02월,27000,24300,9,384,N/A,지금까지 이보다 더 시각적이고 직관적인 머신러닝 강의는 없었다 머신러닝은 놀랍고 강력한 만큼 매우 복잡한 분야다. 이 책에서는 복잡한 머신러닝 알고리즘을을 이해하기 쉽도록 작게 쪼개 직관적인 예시와 그림...,https://www.yes24.com/product/goods/117173369
"실체가 손에 잡히는 딥러닝, 기초부터 실전 프로그래밍",아즈마 유키나가 /최재원 역,책만,2019년 06월,26000,23400,4,570,N/A,"딥러닝의 기초 지식과 수학부터 파이썬을 활용한 실전 프로그래밍 구현까지, 한 권으로 모든 것을 끝내는딥러닝 입문자를 위한 최고의 책! 지금까지 나왔던 다른 어떤 책들과는 달리 딥러닝을 수식과 코드로서 매우 ...",https://www.yes24.com/product/goods/74258238
Do it! 챗GPT&파이썬으로 AI 직원 만들기,이성용,이지스퍼블리싱,2023년 11월,25000,22500,13,"1,314",N/A,"멘토이자 동료, 일꾼이 되어 줄 AI 앱을챗GPT와 파이썬으로 만들어 보자!“AI가 내 일을 대신해 준다면 얼마나 좋을까?” 이 질문을 해결해 줄 수 있는 책이 출간됐다. 이 책에서는 챗GPT와 파이썬을 활용해 기획부...",https://www.yes24.com/product/goods/123278667
AI와 디지털 헬스케어,임미가,커뮤니케이션북스,2025년 08월,12000,12000,0,180,N/A,인공지능과 기술이 예측·예방 중심의 건강 관리를 어떻게 구현하는지 설명한다. 고령화·우울·고립 등 사회적 난제 속에서 헬스케어의 미래를 탐색한다. 인공지능총서. aiseries.oopy.io에서 필요한 인공지능 지식을 ...,https://www.yes24.com/product/goods/149866407
