제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
"대격변 AI 시대, 데이터로 사고하고 데이터로 리드하라","알렉스 거트맨, 조던 골드마이어 /최재원, 장진욱 역",책만,2024년 05월,20000,18000,22,"1,422",N/A,"먼지 쌓인 데이터, 여러분의 조직은 잘 활용하고 있습니까? 데이터와 통계를 모르고, AI 시대의 기술과 비즈니스를 논할 수 없다!변동성으로 가득한 세상, 그 이면의 패턴을 찾아내자! 데이터 과학 뒤에 감춰진 장막...",https://www.yes24.com/product/goods/126167769
린 AI,"로밋 파텔 /박기석, 최은정 역",한빛미디어,2021년 06월,18000,16200,8,270,N/A,"성장을 가속하고 경쟁 우위를 확보하기 위한 인공지능 활용법『린 AI』는 린 스타트업의 창시자 에릭 리스가 에디터를 맡아 엮은 ‘린 스타트업’ 시리즈로, 인공지능을 활용해 사용자를 유치하고 비즈니스를 성장시...",https://www.yes24.com/product/goods/101889359
파이썬 딥러닝 머신러닝 입문,오승환,정보문화사,2021년 01월,25000,22500,16,282,N/A,아직도 파이썬을 모른다고?이 책은 코드를 직접 입력하고 실행하는 데 필요한 기본적인 환경을 ‘구글 코랩’을 활용하여 파이썬의 가장 기본적인 문법 중 핵심적인 내용만 간단하게 설명한다. 머신러닝과 딥러닝을 ...,https://www.yes24.com/product/goods/96087004
AI와 의료 임상,고범석,커뮤니케이션북스,2024년 08월,12000,12000,1,294,N/A,"AI가 의료 분야에서 진단, 치료, 환자 관리에 어떻게 혁신을 일으키고 있는지 탐구한다. AI의 기술적 발전이 의료 서비스의 효율성과 정확성을 높이는 동시에 윤리적 쟁점과 사회적 과제를 다루며, AI가 미래 의료의...",https://www.yes24.com/product/goods/132394203
한눈에 보이는 생성형 AI와 자연어 처리 그림책,"한선관, 임새이",성안당,2024년 03월,23000,20700,17,288,N/A,세상에서 가장 쉬운 생성형 AI와 자연어 처리 책! 인간이 사용하는 자연어를 기계가 이해하고 처리하는 기술인 자연어 처리(NLP)를 생성형 AI와 아울러 한눈에 살펴본다! 그림과 함께 보는 가장 쉬운 책인 한눈에 보...,https://www.yes24.com/product/goods/125611273
기후 위기와 인공지능,이천환,커뮤니케이션북스,2025년 06월,12000,12000,0,108,N/A,"전 세계는 기후 위기의 심각성을 인식하고 다양한 대응 방안을 마련하고 있으며, 기술적·정책적 노력을 통해 기후 위기에 대응하려는 움직임이 이어지고 있다. 아이러니하게도 인간이 만들어 낸 위기를 극복하기 위...",https://www.yes24.com/product/goods/147569950
챗GPT + 엑셀 업무자동화 정석,권현욱,디지털북스,2023년 04월,15000,13500,14,"1,572",N/A,"구글링 시대에는 검색 결과로 나온 정보들 중에서 적합한 내용을 얼마나 잘 선별하고 콘텐츠로 가공하느냐가 중요했다면, 앞으로 다가올 인공지능 시대에는 문제를 정리하고 '질문을 잘 하는 능력'이 중요해지는 시...",https://www.yes24.com/product/goods/118219358
한눈에 보이는 인공지능 그림책,"한선관, 이정원, 장명현",성안당,2022년 10월,20000,18000,21,336,N/A,인공지능을 이해하고 소양을 길러주는 인공지능 전 분야 지식과 지능적 알고리즘을 한 자리에! 글보다 직관적인 그림으로 인공지능 전반을 한눈에!한눈에 보이는 인공지능 그림책세상에서 가장 쉬운 인공지능 책이 ...,https://www.yes24.com/product/goods/99500959
데이터 사이언스 전문가,"이재호, 장인표, 백승욱, 정지원, 구은서 공",홍릉,2025년 04월,23000,23000,1,573,N/A,누구나 할 수 있는 데이터 사이언스 입문서퀘스트 레벨업을 통해 사고력이 쑥쑥,https://www.yes24.com/product/goods/144652175
챗GPT시대 기업이 살아남는 법,장동인,리코멘드,2023년 08월,25000,22500,8,234,N/A,"모든 비즈니스에 AI를 도입하는 시대, 이제 어떻게 하시겠습니까?급격히 변하는 생성 AI 시대에 히치하이커가 되지 않기 위한 필수 교양서ChatGPT의 놀라운 능력은 세상이 돌아가는 근본적인 방식을 바꾸고 있다. 특...",https://www.yes24.com/product/goods/121561645
경험에서 배운다! 실전 데이터 분석 35,"다카하시 이치로, 시라이시 타쿠야, 시미즈 아키에 /신정원 역/권정민 감수",책만,N/A,20000,18000,10,"1,362",N/A,"소프트뱅크 테크놀로지의 현업 데이터 분석가 3인이 실제 프로젝트를 수행하며 경험한 쓰라린 실패와 좌절, 그리고 극복의 기록들분석 준비부터 분석 목적 수립, 인터뷰, 데이터 수집, 추가 데이터 확보, 모델 구축,...",https://www.yes24.com/product/goods/148041343
디지털 전환 시대의 AI 디지털 교육,"홍지연, 홍장우",생능북스,2025년 02월,20000,18000,26,"3,108",N/A,"AI 시대를 위한 선생님과 알파 아이들을 위한 진짜 AI 지도서이 책은 교사의 수업 설계에 보다 집중하며 교육 분야에서 인공지능의 다각적인 적용을 체계적으로 탐구하였으며, 맞춤형 학습 경로부터 창의적인 협업 ...",https://www.yes24.com/product/goods/141696274
증강현실(AR) 및 가상현실(VR) 기반 인터랙티브 미디어 디자인,나유미,지식과감성#,2024년 10월,18000,16200,2,174,N/A,"AR과 VR 기술은 다양한 산업에서 변화를 주도하며,혁신적인 경험과 새로운 가능성을 제공하고 있다.“이 책에서는 AR과 VR 기술의 현재 상황과 다양한 산업에서의 응용 사례, 그리고 미래 기술의 발전 방향을 종합적...",https://www.yes24.com/product/goods/134634562
엑셀로 배우는 순환 신경망·강화학습 초(超)입문,"와쿠이 요시유키, 와쿠이 사다미 /권기태 역",성안당,2020년 07월,23000,20700,0,198,N/A,엑셀만으로 딥러닝 동작 원리를 이해할 수 있는 AI 응용 입문서! 자연어 처리에서 가장 주목받는 신경망 알고리즘 RNN과 강화학습 기법으로 정확도를 높인 DQN을 엑셀로 쉽게 소개!「엑셀로 배우는 딥러닝」의 속편...,https://www.yes24.com/product/goods/91220397
AI와 중등교사,박정희,커뮤니케이션북스,2024년 08월,12000,12000,2,174,N/A,AI 시대의 교육 철학을 재정립하고 새로운 교육 패러다임을 모색하는 방법을 제시한다. 지식 전달에서 문제 해결과 창의력 발휘로 교육 방향이 전환되고 있다. AI 리터러시 교육은 비판적 사고와 윤리적 활용을 포함...,https://www.yes24.com/product/goods/130139112
정보적 사고에서 인공 지능까지,김현철,한빛아카데미,2019년 09월,19000,19000,3,174,N/A,"정보적 사고는 어떻게 인공 지능을 만들어내는가?정보적 사고는 컴퓨팅 사고력보다 좀 더 포괄적인 개념으로 우리가 살고 있는 세상을 정보의 관점으로 본다는 것이 핵심이다. 즉, 정보를 연결하여 처리하는 알고리...",https://www.yes24.com/product/goods/79636393
AI 기반 브랜드 평판 관리,"박흥식, 김광수, 조연심, 정진혁",힘찬북스,2025년 03월,25000,22500,0,138,N/A,"이 책은 브랜드 평판 관리와 퍼스널 브랜딩의 모든 측면에서 AI 기술이 어떻게 혁신적인 가능성을 제공하는지를 탐구한다. 데이터 기반 의사결정부터 글로벌 브랜딩 전략, 지역화(Localization), 그리고 메타버스에...",https://www.yes24.com/product/goods/143545210
헬스케어 분석을 위한 머신러닝,에듀오닉스 러닝 솔루션스 /고석범 역,에이콘출판사,2022년 03월,25000,22500,0,126,N/A,의료의 미래를 생각하는 의과 대학생과 의료인들의 의료 인공지능에 대한 관심이 나날이 높아지면서 관련 주제에 대한 논의도 뜨겁다. 이 책은 실질적인 사례로 헬스케어 관련 머신러닝을 구현하는 방법을 소개한다....,https://www.yes24.com/product/goods/108224313
스마트폰과 AI로 소통하는 새로운 세상,"이종구, 이태훈, 어현경, 지영희",디지털콘텐츠그룹,2025년 01월,18000,16200,0,474,N/A,"디지털 시대, 부모님을 위한 맞춤형 AI 활용 가이드이 책은 AI 기술이 낯선 시니어·실버 세대가 쉽고 편리하게 AI를 활용할 수 있도록 기획된 실용 가이드이다. 챗GPT, 구글제미나이, 빅스비, 아숙업 등 다양한 AI ...",https://www.yes24.com/product/goods/141331756
영화 속 인공지능,김희경,커뮤니케이션북스,2024년 09월,12000,12000,0,150,N/A,"〈메트로폴리스〉부터 〈엑스 마키나〉, 〈블레이드 러너 2049〉까지 다양한 영화 속 AI를 분석하며, AI의 발전과 인간성과의 관계를 탐구한다. 이 책은 AI가 조력자에서 경쟁자, 그리고 인간과 유사한 존재로 변모...",https://www.yes24.com/product/goods/133756270
로봇 공학을 위한 인공 지능,Francis X. Govers  / 김종욱 역,홍릉,2024년 07월,32000,32000,0,150,N/A,N/A,https://www.yes24.com/product/goods/129778672
모두를 위한 인공지능과 윤리,"김성애, 김한성, 박주연, 전수진",삼양미디어,2022년 07월,23000,20700,0,150,N/A,"본 도서는 미국의 AI4K12에서 제안한 인공지능의 5가지 빅 아이디어를 토대로 인공지능에 대한 원리와 윤리적 이슈에 대한 이해를 균형감 있게 다루기 위해 세 가지 접근 방식을 고려해 구성하였다.첫째, 5가지 빅 ...",https://www.yes24.com/product/goods/110418529
쉬운 딥러닝,반병현,생능북스,2021년 04월,20000,18000,15,228,N/A,N/A,https://www.yes24.com/product/goods/99552196
"AI와 연구자들, 사례와 방법",유용균,커뮤니케이션북스,2024년 12월,12000,12000,0,162,N/A,"연구자들이 AI를 효과적으로 활용하는 방법을 다룬다. 기계학습, 생성형 AI 등 다양한 AI 기술을 연구에 적용하는 사례를 소개하며 AI를 통해 연구 효율성을 높이는 방법과 윤리적 고려사항을 설명한다. AI를 연구의...",https://www.yes24.com/product/goods/139872526
"AI 빅 웨이브, 기술을 넘어 전략으로",은종성,책길,2025년 05월,19800,17820,9,204,N/A,"인공지능을 비즈니스모델과 전략 관점에서 바로본 책생성형 AI, AI 에이전트, 온디바이스 AI… 매일같이 쏟아지는 뉴스 속에서 우리는 마치 변화의 물결 위에 올라탄 것 같지만, 정작 중요한 질문은 여전히 공중에 ...",https://www.yes24.com/product/goods/145226803
기계의 반칙,넬로 크리스티아니니 /김정민 역,한빛미디어,2023년 11월,17500,15750,25,159,N/A,"격동의 인공지능 시대,지능형 기계와 공존하기 위한 실용적 조언25년 이상 인공지능 연구에 기여한 최고의 석학이 집필한 IT 과학교양서다. 현대 인공지능(AI)의 발전사부터 시작해, 주요 사건 사례들을 바탕으로 인...",https://www.yes24.com/product/goods/123858720
자연어처리바이블,"임희석, 고려대학교 자연어처리연구실",휴먼싸이언스,2019년 12월,35000,35000,4,162,N/A,"한국의 학생, 연구원, 그리고 학자들이 좀 더 쉽게 자연어처리를 습득할 수 있고, 한국어의 특성을 반영한 자연어처리를 배울 수 있기를 희망하며 집필된 교재이다. 이 책의 첫 번째 파트에서는 자연어처리를 배우기...",https://www.yes24.com/product/goods/89306742
케라스로 구현하는 딥러닝,김성진,한빛미디어,2022년 04월,30000,27000,10,102,N/A,"예제를 따라 하며 배우는 딥러닝 인공신경망 이 책은 케라스로 인공신경망을 구현하는 방법을 알려준다. 복잡한 수식 없이 실무에 적용할 수 있는 실용적인 예제로 다양한 딥러닝 모델(ANN, DNN, CNN, RNN, AE, GAN,...",https://www.yes24.com/product/goods/108554329
AI와 디자인 언어,조택연,커뮤니케이션북스,2025년 06월,12000,12000,0,102,N/A,"디자인을 시각 언어로 보고, 인공지능이 이를 어떻게 학습하고 창조하는지 분석한다. 인간의 시각지능 구조를 모방한 CNN, GAN 기술의 작동 원리와 함께, 생성형 AI가 이미지 문법을 어떻게 재구성하는지를 탐색한다...",https://www.yes24.com/product/goods/147732429
인공지능과 뇌는 어떻게 생각하는가,이상완,솔,2022년 09월,18000,16200,58,"1,350",N/A,인공지능과 뇌가 던지는 7가지 질문들―인공지능과 뇌를 통해 발견하는 지능의 비밀KAIST 신경과학-인공지능 융합연구센터장인 이상완 교수는 인공지능과 뇌과학의 최전선에서 활동하는 연구자이다. 구글 알파고 연...,https://www.yes24.com/product/goods/112250573
돈 되는 파이썬 인공지능 프로그래밍,아카이시 마사노리 /심효섭 역,위키북스,2021년 06월,25000,22500,0,114,N/A,"내방 고객 수, 주말 수요, 상품 추천…등의 인공지능 기술로 영업과 마케팅이 완전히 새로워진다!업무에 유용하고 매출에 도움이 되는 진짜 ‘쓸모 있는 AI’를 직접 만들어 보자!업무에 유용한 ‘쓸모 있는 AI’를 ...",https://www.yes24.com/product/goods/102220916
AI와 한의학,김경묵,커뮤니케이션북스,2025년 03월,12000,12000,0,114,N/A,"전통과 혁신이 만나는 AI와 한의학. 인공지능의 첨단 기술과 한의학의 오랜 지혜가 융합되어, 진료와 연구에 획기적 변화를 가져올 것이다. 환자 맞춤 치료와 효율적 서비스 제공으로 미래 의료 패러다임을 열어줄 ...",https://www.yes24.com/product/goods/143058344
AI 미술과 포스트휴먼,이재은,커뮤니케이션북스,2025년 03월,12000,12000,0,78,N/A,"AI가 창작의 주체로 등장하며 미술계에 던지는 질문들을 탐구한다. AI 미술가 아이다부터 노진아, 레픽 아나돌, 마리오 클링게만 등의 작업을 분석하며 AI가 인간과 공진화하는 방식을 고찰한다. 창의성, 예술성의 ...",https://www.yes24.com/product/goods/143484962
영화 속 AI 분석,서의석,커뮤니케이션북스,2025년 03월,12000,12000,0,78,N/A,"영화 속 인공지능 캐릭터를 통해 인간과 기계의 관계를 탐구한다. 〈터미네이터〉, 〈매트릭스〉, 〈엑스 마키나〉 등 다양한 영화를 분석하며 AI가 인간 사회에서 어떤 역할을 하는지 살펴본다. AI에 대한 유토피아...",https://www.yes24.com/product/goods/143306201
4차 산업혁명 기반 기술의 이해,"김미혜, 길준민, 김대학, 김병창, 변태영  외 1명
                                        
정보 더 보기/감추기



김미혜
길준민
김대학
김병창
변태영
설진현",연두에디션,2019년 12월,22000,22000,2,"1,230",N/A,"제4차 산업혁명 시대의 핵심 기술인 ICMB(IoT, Cloud, Mobile, Big Data), 인공지능 및 플랫폼에 관한 기반 기술의 이해를 목표로, 컴퓨터 전공자가 아닌 인문, 사회, 예체능 등 다양한 전공자도 쉽게 이해할 수 있...",https://www.yes24.com/product/goods/88319082
인공지능 시대 일의 의미 (큰글자책),박지영,커뮤니케이션북스,2025년 09월,25000,25000,0,42,N/A,"인공지능이 바꾸는 노동 환경 속에서 일의 의미를 성찰한다. 자율성·유능성·관계성의 욕구를 중심으로, 개인과 조직이 어떻게 의미 있는 일을 만들어 갈지 탐색한다. 인공지능총서. aiseries.oopy.io에서 필요한 인...",https://www.yes24.com/product/goods/154367283
AI 리터러시,정소영,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"AI는 이미 일상의 도구이자 조력자가 되었지만 교육 현장은 도입에 소극적이다. 이 책은 AI 리터러시의 필요성을 강조하며, 기술 이해와 활용은 물론 비판적 성찰과 윤리적 책임을 제시한다. 미국과 중국의 상반된 ...",https://www.yes24.com/product/goods/154288822
텐서플로 첫걸음,조르디 토레스 /박해선 역,한빛미디어,2016년 08월,16000,14400,33,66,N/A,처음 만나는 친절한 텐서플로 입문서전 세계 거대 기업들이 인공지능과 머신 러닝에 투자하는 가운데 구글이 오픈소스로 공개한 딥 러닝 라이브러리 텐서플로가 큰 관심을 받고 있다. 이 책은 복잡한 이론 설명이 아...,https://www.yes24.com/product/goods/30547754
AI와 지속 가능한 노동 (큰글자책),김주희,커뮤니케이션북스,2025년 08월,25000,25000,0,42,N/A,"AI 확산이 초래한 노동의 구조 변화와 그림자·가짜 노동 문제를 짚고, 창의성과 자율성을 살리는 직무 재설계, 재교육, 정신 건강, 노동권 보호, 국제 협력 등 지속 가능한 노동 전략을 제시한다. 인공지능총서. ais...",https://www.yes24.com/product/goods/151286739
생성형 AI와 엔터테크,황서이,커뮤니케이션북스,2025년 07월,12000,12000,0,42,N/A,"생성형 AI가 방송, 음악, 광고, 버추얼 캐릭터 등 엔터테인먼트 산업에 미치는 영향을 구체적 사례로 설명한다. 콘텐츠 기획부터 유통, 윤리까지 아우르며 기술과 창작의 융합 미래를 제시한다. 인공지능총서. aiser...",https://www.yes24.com/product/goods/148404342
AI로 바라보는 이커머스 이야기,김선호,열린인공지능,2023년 04월,10000,10000,0,66,N/A,본 서적은 챗GPT를 활용하여 집필된 서적입니다. 챗GPT를 통해 답변을 받다보니 책에 기입된 URL링크 등의 정보가 정확하지 않을 수 있습니다.이 책은 일반적인 기술서적이나 이커머스 관련 서적에서는 자세하게 설...,https://www.yes24.com/product/goods/118957757
챗GPT를 200% 활용하는 프롬프트 질문 기술,심재우,진한엠앤비,2023년 04월,28000,26600,1,54,N/A,인공지능 기술이 발전함에 따라 챗봇(Chatbot)은 새로운 커뮤니케이션 방식으로 자리 잡았다. 이러한 챗봇을 개발하는 데 필요한 기술 중 하나인 챗GPT를 더욱 효과적으로 활용하기 위한 프롬프트 질문 기술을 중심...,https://www.yes24.com/product/goods/118300550
뉴사피엔스 챗GPT,"이규연, 방준성, 부경호, 박제윤, 김홍열  외 8명
                                        
정보 더 보기/감추기



이규연
방준성
부경호
박제윤
김홍열
박범철
이재은
이명호
박병기
윤기영
배영재
조상근
조용호",광문각출판미디어,2023년 03월,20000,20000,10,75,N/A,"인공지능 시대의 새로운 인류, 즉 ‘뉴사피엔스’가 이제 막 시작됐다면 지나친 예단일까? 인공지능이라는 단어가 쓰이기 시작한 것은 꽤 오래전부터다. 적어도 지금의 청장년까지는 인공지능이 뭔지는 알고 있다. ...",https://www.yes24.com/product/goods/118151862
"AI, 글쓰기, 저작권 (큰글자도서)",정지우,마름모,2025년 09월,26000,26000,0,42,N/A,AI라는 파도를 타고 나아가기 위해AI를 활용하고 AI를 넘어서는 법“평행하는 선들은 결국 만난다”는 슬로건 아래 시대의 문제를 사유하는 인문교양 시리즈 ‘마름모 문고’를 처음 선보인다. 그 첫 권은 생성형 인...,https://www.yes24.com/product/goods/155129431
AI 디자인과 장소 만들기,박신희,커뮤니케이션북스,2025년 09월,12000,12000,0,42,N/A,"AI 기술이 장소성과 공간 디자인에 미치는 영향을 심층적으로 탐구한다. 현대 도시 공간은 더 이상 물리적 실체에 국한되지 않고, 디지털과 아날로그, 가상과 현실이 융합된 복합적 경험의 장으로 진화한다. 이러한 ...",https://www.yes24.com/product/goods/155059275
AI 법과 아이피 이슈,정윤경,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"생성형 AI는 저작권, 상표권, 특허 등 기존 지식재산권 체계와 충돌하고 있다. EU·일본·한국의 입법과 국제 판례를 분석하며, AI 창작물의 권리 귀속과 법적 재편의 길을 모색한다. 인공지능총서. aiseries.oopy.io...",https://www.yes24.com/product/goods/154935866
AI 직업 지도,신승인,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"AI는 일자리를 파괴하는 동시에 새로운 기회를 창출한다. 사라지는 직업과 떠오르는 능력을 짚고, 학생, 직장인 모두가 AI 시대를 살아갈 자기만의 커리어 나침반을 세우도록 안내한다. 인공지능총서. aiseries.oopy...",https://www.yes24.com/product/goods/154935856
AI와 쇼트폼,이호은,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"생성형 AI와 쇼트폼의 결합은 창작의 문턱을 낮추고 소비 문법을 바꾸었다. 이 책은 제작 원칙, 실무 사례, 그리고 윤리적 과제까지 짚으며 창작자가 변화의 시대를 주도할 수 있는 통찰과 해법을 제시한다. 인공지...",https://www.yes24.com/product/goods/154935846
"휴머노이드, 유토피아인가 디스토피아인가",김광연,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,산업 로봇에서 진화한 휴머노이드는 인류의 미래를 유토피아와 디스토피아의 갈림길로 이끈다. 철학자들의 사유를 통해 인간만의 고유성과 윤리적 성찰의 필요성을 짚는다. 인공지능총서. aiseries.oopy.io에서 필요...,https://www.yes24.com/product/goods/154935838
한국과 EU의 AI법,안중민,커뮤니케이션북스,2025년 10월,12000,12000,0,42,N/A,"《한국과 EU의 AI법》은 급변하는 AI 시대에 맞선 규제의 전환점을 짚는다. EU는 AI법을 통해 고위험 AI에 강력한 사전 규제를 도입했고, 한국은 AI기본법에서 ‘고영향 AI’ 개념을 마련해 2026년 시행을 앞두고 있...",https://www.yes24.com/product/goods/154920606
0에서 시작하는 챗GPT,김은경,에스엔에스소통연구소,2024년 01월,20000,18000,0,42,N/A,"이 책은 AI 챗GPT에 익숙하지 않은 분들을 위해 AI 챗GPT의 기본 개념과 원리, 그리고 주요 활용 방법과 사례를 중심으로 AI 챗GPT의 이해와 기본 활용에 필요한 정보를 제공한다. 이 책을 통해 여러분은 AI 챗GPT의...",https://www.yes24.com/product/goods/124587194
딥러닝을 위한 선형대수학,길버트 스트랭 /부산대학교 산업수학센터(FFMIMC) 역,한빛아카데미,2020년 08월,38000,34200,5,"1,140",N/A,"데이터 과학과 머신러닝을 위한 수학의 기본을 다루며, 기본 강좌로 아주 적합한 교재이다. MIT의 길버트 스트랭 교수가 선형대수학과 딥러닝을 강의한 내용을 고스란히 담았다. 선형대수학을 비롯해 최적화, 확률과...",https://www.yes24.com/product/goods/91574113
AI 툴킷,김규태,길벗,2024년 05월,22000,19800,10,984,N/A,"상상이 현실이 되는 도구, AI 툴킷업무 스트레스는 줄이고, 실무 능률은 높이는 일 잘하는 사람들을 위한 인공지능 해결사내 업무에 딱! 맞는 업무 능력을 향상시키는 프롬프트 엔지니어링. 창업&마케팅도 단숨에! ...",https://www.yes24.com/product/goods/126594820
"인공지능, 주식투자 좀 부탁해",곽경일,비제이퍼블릭(BJ퍼블릭),2023년 06월,25000,22500,23,948,N/A,"“입문자들도 아주 쉽게 파이썬 프로그래밍을 익힐 수 있습니다.”지능 전문가인 저자는 이 책을 통해 입문자들도 아주 쉽게 파이썬 프로그래밍을 익히게 하고, 실제로 배운 파이썬 프로그래밍을 통해서 인공지능을 ...",https://www.yes24.com/product/goods/119184845
LLMOps를 활용한 LLM 엔지니어링,박슬기,위키북스,2025년 04월,28000,25200,0,942,N/A,"『LLMOps를 활용한 LLM 엔지니어링』은 LLM 애플리케이션의 개발부터 운영, 평가, 개선까지 전 과정을 실무 중심으로 풀어낸 LLMOps 실전 가이드다. 단순한 모델 호출이나 프롬프트 작성에 그치지 않고, LLM을 제품...",https://www.yes24.com/product/goods/145341599
제가 쓰는 챗GPT는 당신이 쓰는 챗GPT와 전혀 다릅니다,허민,리코멘드,2024년 03월,18800,16920,17,"2,046",N/A,“제가 쓰는 챗GPT는 당신이 쓰는 챗GPT와 전혀 다릅니다.”챗GPT의 성능을 한 차원 끌어올리는 방법을 담은 책이 탄생했다. 『제가 쓰는 챗GPT는 당신이 쓰는 챗GPT와 전혀 다릅니다』는 단순한 챗GPT 사용법이 아...,https://www.yes24.com/product/goods/125131585
한 권으로 끝내는 직장인 필수 IT 지식,"정명림, 김효섭, 박준영, 이수현, 박지은  외 1명
                                        
정보 더 보기/감추기



정명림
김효섭
박준영
이수현
박지은
이지성",비제이퍼블릭(BJ퍼블릭),2025년 05월,27500,24750,16,900,N/A,"6인의 전문가가 알려주는 IT의 기초 용어와 지식, 단 한 권으로 탄탄하게!정보통신 기술 업계에 몸담고 있는 사람이어도 방대한 IT 기술을 알기에는 어려움이 따른다. 따라서 IT 지식을 쌓기 위해서는 먼저 기본이 ...",https://www.yes24.com/product/goods/146529227
프로그래머를 위한 선형대수,"히라오카 카즈유키, 호리 겐 공 / 이창신 역",길벗,2017년 03월,32000,28800,37,870,N/A,"행렬식을 계산할 수는 있지만, 행렬식의 의미는 모른다?손으로 계산하든 컴퓨터로 계산하든 식의 의미를 이해하지 못하면 무슨 소용이 있을까? 선형대수를 푸는 방법이 아니라 ‘왜 이런 결과가 나타나는가?’, ‘나...",https://www.yes24.com/product/goods/36979988
아는 만큼 보이는 AI,최기원,길벗,2024년 08월,19000,17100,23,"2,859",N/A,"AI 공부 전, AI 기술 도입 전, AI 기술 활용 전막연한 기대와 두려움을불식시켜 줄 명쾌한 기술 교양서 잘 만들어진 AI를 활용해 가치를 창출하고 싶은 사람이라면 굳이 어려운 수학과 코딩에 대해 알 필요는 없다. ...",https://www.yes24.com/product/goods/130027463
HRD 실무자를 위한 ChatGPT 활용 가이드,"이윤수, 강민지, 김형석, 배수완, 장지혜",플랜비디자인,2024년 02월,18000,16200,5,780,N/A,"“요즘 일잘러는 왜 ChatGPT와 협업할까?”인사, 교육, 조직관리 및 조직문화 양성 등HR과 HRD 분야 담당자들이 반드시 알아야 할‘ChatGPT’와 함께 일하는 법!ChatGPT를 아직 사용하지 않는 사람은 있어도, ChatGP...",https://www.yes24.com/product/goods/124940055
모두의 한국어 텍스트 분석 with 파이썬,"박조은, 송영숙",길벗,2023년 05월,27000,24300,19,876,N/A,먼 미래의 거대 모델도 작은 모델에서 시작! 지금 당장 내 손으로 직접 작고 간단한 모델을 구현해보자!정말 쉽게 누구나 따라 해볼 수 있는 실전형 프로젝트 4가지 수록!컴퓨터는 한국어를 어떻게 이해할 수 있을까...,https://www.yes24.com/product/goods/119117002
단단한 심층강화학습,"로라 그레서, 와 룬 켕  / 김성우 역",제이펍,2022년 02월,30000,27000,5,750,N/A,심층강화학습의 확고한 기반을 다지기 위한 완벽한 방법!이 책은 이론과 실무적 내용을 독특하게 결합한 심층강화학습 소개서다. 직관적인 설명에서 시작하여 심층강화학습 알고리즘에 대한 자세한 설명과 SLM Lab ...,https://www.yes24.com/product/goods/106709909
MLOps 실전 가이드,"노아 기프트, 알프레도 데자 /이장후, 이일섭, 서기원 역 외 1명
                                        
정보 더 보기/감추기



노아 기프트
알프레도 데자
이장후
이일섭
서기원
맹윤호",한빛미디어,2023년 07월,40000,36000,22,804,N/A,"* 머신러닝 모델의 안정적인 운영과 성공적인 CI/CD를 위한 MLOps 엔지니어링 노하우* MLOps 포트폴리오 작성 Tip, MLOps 실무자의 인터뷰 수록* 최신 내용 기반한 역자 노트 추가 및 소스 코드 리팩토링 반영 이 책...",https://www.yes24.com/product/goods/119859717
부를 창출하는 ChatGPT 활용전략,정종기,형설eLife,2024년 08월,27000,24300,0,828,N/A,"“ChatGPT가 앞당긴 인공지능 대중화 시대,AI 활용 능력이 당신의 경쟁력입니다!지금은 ChatGPT가 앞당긴 인공지능 대중화 시대이다. 전세계는 ChatGPT를 위시한 생성형 AI의 혁신적인 진화에 관심이 집중되고 있고,...",https://www.yes24.com/product/goods/129370001
DuckDB 인 액션,"마크 니드햄, 마이클 헝거, 마이클 시몬스 /김의윤 역",인사이트(insight),2025년 05월,28000,25200,0,654,N/A,"데이터 분석이 힘들어지는 순간, DuckDB가 필요하다이제 DuckDB로 완전히 새롭게 경험해보자!노트북 하나로 기가바이트 단위 데이터를 1초 만에 분석할 수 있다면 믿을 수 있을까? DuckDB라면 가능하다. CSV, JSON, ...",https://www.yes24.com/product/goods/145630370
데이터 품질의 비밀,"바 모세스, 라이어 개비쉬, 몰리 보르웨르크 /데이터야놀자 역",디코딩,2023년 04월,28000,25200,23,702,N/A,"데이터를 다루는 일을 하는 사람들이라면 누구나 읽어보고, 알아보고 싶었던 ‘데이터 품질’데이터가 곧 가치인 시대, 성패는 데이터 품질에 달려있다!이 책은 신뢰할 수 없는 데이터로 고통받고, 내적 비명을 지르...",https://www.yes24.com/product/goods/118335008
AI는 회사에서 어떻게 쓰이는가,케이트리,생능북스,2025년 03월,19000,17100,22,618,N/A,"AI를 기반으로 한 비즈니스 모델을 보다 깊이 이해하고 수익화할 수 있는 구체적인 방안을 제시해 준다!이 책의 기획 의도는 비전공자를 포함한 경영진, 사업 전략가 그리고 비즈니스 전문가들에게 인공지능(AI)의 ...",https://www.yes24.com/product/goods/143846890
파이썬을 활용한 금융 분석,이브 힐피시 /김도형 역,한빛미디어,2022년 03월,45000,40500,16,606,N/A,파이썬으로 데이터 주도 금융 분석 마스터하기현재 파이썬은 데이터와 인공지능이 주도하는 금융 분석 분야에서 대표적인 프로그래밍 언어로 사용되고 있다. 일부 대형 투자은행과 헤지펀드는 파이썬을 핵심적인 거...,https://www.yes24.com/product/goods/108553612
